Codepoint,Symbol,Classifier,LaTeX,Draculae
&#x30;,0,0,0,0,
&#x31;,1,1,1,1,
&#x32;,2,2,2,2,
&#x33;,3,3,3,3,
&#x34;,4,4,4,4,
&#x35;,5,5,5,5,
&#x36;,6,6,6,6,
&#x37;,7,7,7,7,
&#x38;,8,8,8,8,
&#x39;,9,9,9,9,
&#x2b;,+,pluslower,plus,plus,
&#x2d;,-,horzlinelower,minus,horizontal-line|overline|OVERLINE,
&#x2212;,-,horzlinelower,minus,horizontal-line|underline|UNDERLINE,
&#x25a0;,-,horzlinelower,minus,horizontal-line,
&#x3d;,=,eqlower,equals,equals|equal,
&#x2261;,≡,equiv,equiv,equiv|equivalence|equivalent,
&#x2262,≢,not\equiv,not\equiv,not-equivalent,
&#x2265;,≥,geqlower,geq,geq|greaterThanEqualTo|greater-equal,
&#x3c;,<,ltlower,lt,<|less-than,
&#x3e;,>,gtlower,>,>|greater-than,
&#x2260;,≠,neqlower,neq,neq|notEqual|not-equal,
&#xac;,¬,neg,neg,neg|not,
&#x2228;,∨,lor,lor,lor|disjunction,
&#x2227;,∧,land,land,land|conjunction,
&#x2264;,≤,less_than_or_equal,leq,leq|lessThanEqualTo|less-equal,
&#x2225;,||,parallel,parallel,parallel|parallelLines,
&#x222b;,∫,Integralupper,integral|int,
&#x2229;,∩,bigcap,bigcap|intersection|intersect,bigcap,bigcap|intersection|intersect,
&#x222a;,∩,bigcup,bigcup|union,bigcup|union,
&#x3a0;,Π,product,Pi,Pi,
&#x2211;,Σ,summation,sum,sum,
&#x221a;,√,sqrtlower,sqrt,ROOT|sqrt,
&#x5b;,[,lbracketlower,left-bracket,left-bracket|left-brack|lbrack,
&#x5d;,],rbracketlower,right-bracket,right-bracket|right-brack|rbrack,
&#x28;,(,lparenlower,left-paren,left-paren|(
&#x29;,),rparenlower,right-paren,right-paren|)
&#x221e;,∞,infinlower,infinity,infinity|infty,
&#x2205;,∅,Emptyset, Emptyset, Emptyset|EmptySet|emptyset|empty-set,
&#x2209;,∉,notin,notin,notin|notElement|not-element,
&#x2208;,∈,in,in,element,
&#x2203;,∃,exists,exists,exists,
&#x2200;,∀,forall,forall,forall,
&#x223c;,∼,sim,sim,sim|~|tilde,
&#x22a5;,⊥,bot,bot,perp|bot|bottom,
&#x22A4;,⊤,top,top,top,
&#x2220;,∠,angle,angle,angle,
&#x41;,A,Aupper,A,A,
&#x42;,B,Bupper,B,B,
&#x43;,C,Cupper,C,C,
&#x44;,D,Dupper,D,D,
&#x45;,E,Eupper,E,E,
&#x46;,F,Fupper,F,F,
&#x47;,G,Gupper,G,G,
&#x48;,H,Hupper,H,H,
&#x49;,I,Iupper,I,I,
&#x4a;,J,Jupper,J,J,
&#x4b;,K,Kupper,K,K,
&#x4c;,L,Lupper,L,L,
&#x4d;,M,Mupper,M,M,
&#x4e;,N,Nupper,N,N,
&#x4f;,O,Oupper,O,O,
&#x50;,P,Pupper,P,P,
&#x51;,Q,Qupper,Q,Q,
&#x52;,R,Rupper,R,R,
&#x53;,S,Supper,S,S,
&#x54;,T,Tupper,T,T,
&#x55;,U,Uupper,U,U,
&#x56;,V,Vupper,V,V,
&#x57;,W,Wupper,W,W,
&#x58;,X,Xupper,X,X,
&#x59;,Y,Yupper,Y,Y,
&#x5a;,Z,Zupper,Z,Z,
&#x61;,a,alower,a,a,
&#x62;,b,blower,b,b,
&#x63;,c,clower,c,c,
&#x64;,d,dlower,d,d,
&#x65;,e,elower,e,e,
&#x66;,f,flower,f,f,
&#x67;,g,glower,g,g,
&#x68;,h,hlower,h,h,
&#x69;,i,ilower,i,i
&#x6a;,j,jlower,j,j,
&#x6b;,k,klower,k,k,
&#x6c;,l,llower,l,l,
&#x6d;,m,mlower,m,m,
&#x6e;,n,nlower,n,n,
&#x6f;,o,olower,o,o,
&#x70;,p,plower,p,p,
&#x71;,q,qlower,q,q,
&#x72;,r,rlower,r,r,
&#x73;,s,slower,s,s,
&#x74;,t,tlower,t,t,
&#x75;,u,ulower,u,u,
&#x76;,v,vlower,v,v,
&#x77;,w,wlower,w,w,
&#x78;,x,xlower,x,x,
&#x79;,y,ylower,y,y,
&#x7a;,z,zlower,z,z,
&#x3b1;,α,alphalower,alpha,alpha,
&#x3b2;,β,betalower,beta,beta,
&#x3b3;,γ,gammalower,gamma,gamma,
&#x3b4;,δ,deltalower,delta,delta,
&#x3b5;,ε,epsilonlower,epsilon,epsilon,
&#x3b6;,ζ,zetalower,zeta,zeta,
&#x3b7;,η,etalower,eta,eta,
&#x3b8;,θ,thetalower,theta,theta,
&#x3b9;,ι,iotalower,iota,iota,
&#x3ba;,κ,kappalower,kappa,,kappa,
&#x3bb;,λ,lambdalower,lambda,lambda,
&#x3bc;,μ,mulower,mu,mu,
&#x3bd;,ν,nulower,nu,nu,
&#x3be;,ξ,xilower,xi,xi,
&#x3bf;,ο,omicronlower,omicron,omicron,
&#x3c0;,π,pilower,pi,pi,
&#x3c1;,ρ,rholower,rho,rho,
&#x3c3;,σ,sigmalower,sigma,sigma,
&#x3c4;,τ,taulower,tau,tau,
&#x3c5;,υ,upsilonlower,upsilon,upsilon
&#x3c6;,φ,philower,phi,phi,
&#x3c7;,χ,chilower,chi,chi,
&#x3c8;,ψ,psilower,psi,psi,
&#x3c9;,ω,omegalower,omega,omega,
&#x391;,Αlpha,Alphaupper,Alpha,Alpha,
&#x392;,Beta,Betaupper,Beta,Beta,
&#x393;,Γ,Gammaupper,Gamma,Gamma,
&#x394;,Δ,Deltaupper,Delta,Delta,
&#x395;,Εpsilon,Epsilonupper,Epsilon,
&#x396;,Ζeta,Zetaupper,Zeta,Zeta,
&#x397;,Eta,Etaupper,Eta,Eta,
&#x398;,Θ,Thetaupper,Theta,Theta,
&#x399;,Ιota,Iotaupper,Iota,Iota,
&#x39a;,Κappa,Kappaupper,Kappa,Kappa,
&#x39b;,Λ,Lambdaupper,Lambda,Lambda,
&#x39c;,Μu,Muupper,Mu,Mu,
&#x39d;,Νu,Nuupper,Nu,Nu,
&#x39e;,Ξ,Xiupper,Xi,Xi,
&#x39f;,Οmicron,Omicronupper,Omicron,Omicron,
&#x3a0;,Pi,Piupper,Pi,Pi,
&#x3a1;,Rho,Rhoupper,Rho,Rho
&#x3a3;,Σ,Sigmaupper,Sigma,Sigma,
&#x3a4;,Τau,Tauupper,tau,tau,
&#x3a5;,Upsilon,Upsilonupper,Upsilon,Upsilon,
&#x3a6;,Φ,Phiupper,Phi,Phi,
&#x3a7;,Chi,Chiupper,Chi,
&#x3a8;,Ψ,Psiupper,Psi,Psi,
&#x3a9;,Ω,Omegaupper,Omega,Omega,